Feature,SHAP_Importance
readability grades__GunningFogIndex,-0.97399247
"Men as passive, either quietly drinking or observing.",-0.47372094
Interaction differences between male and female characters.,-0.46236998
Assumptions about behavior based on gender roles.,-0.25967586
Women engaging in flirtatious behavior while men remain reserved.,-0.2526353
Flirtation linked predominantly to women across different racial backgrounds.,-0.23263356
"Use of race to imply behavioral tendencies (e.g., flirting, alcoholism).",-0.16941857
verb_phrase_count,-0.15598005
readability grades__LIX,-0.14938429
Use of bars as a setting to explore power dynamics and stereotypes.,-0.14209393
