Feature,SHAP_Importance
Directions and help requests linked to specific ethnic names.,-1.4409137
Presence and impact of drug paraphernalia in public areas linked to class.,-0.40817925
readability grades__FleschReadingEase,-0.3661482
Distinctions in authority between various occupations.,-0.36450577
Association of substance use with specific ethnic groups.,-0.30311027
Comparative analysis of behavior between different racial backgrounds.,-0.27000678
"Different substances (meth, pot, heroin) linked to specific demographics.",-0.22915664
readability grades__SMOGIndex,-0.2137578
word usage__preposition,-0.18558703
Influence of job status on decision-making in community settings.,-0.15759955
