Feature,Coefficient,Odds Ratio,Probability Increase (%)
unique_word_count,-0.1664824696206499,0.8466376586846773,15.336234131532267
sentence info__complex_words_dc,-0.10642546281465176,0.8990420577283409,10.09579422716591
verb_phrase_count,-0.10446051374820747,0.900810366329579,9.9189633670421
word usage__pronoun,-0.07703437059833035,0.9258580307651271,7.414196923487292
noun_phrase_count,-0.06784759485404294,0.9344028705317897,6.559712946821028
sentence info__syllables,-0.054169238251843305,0.9472717783155674,5.272822168443259
sentence info__wordtypes,-0.05293871143113046,0.9484381391172386,5.156186088276138
word usage__tobeverb,-0.032707110469045494,0.9678219830077804,3.217801699221956
word usage__nominalization,-0.02711450084383433,0.9732497972211818,2.6750202778818233
readability grades__LIX,-0.01873572501207109,0.9814386976733434,1.8561302326656648
