,mean,median,std,min,max,u_stat,p_val
Unnamed: 0,2162.5934065934066,2212.0,1167.3901285437873,0.0,4091.0,14935.0,0.9909823465615092
polarity,-0.05910244803273648,0.0,0.23785546854866663,-0.9,0.1999999999999999,14776.0,0.8736023193796459
subjectivity,0.3742445932510035,0.3208333333333333,0.2245449517619494,0.0,1.0,15106.0,0.8448481677033931
flesch_reading_ease,74.13923076923078,76.64,12.038366634565476,36.96,102.91,14732.0,0.8366520722643876
syntactic_complexity,17.91785714285714,19.0,4.50085389746954,10.333333333333334,26.0,14563.5,0.6980780213212827
lexical_diversity,0.8050626033560202,0.8,0.09840502345496335,0.6376811594202898,1.0,15488.0,0.5438973760200003
text_length,246.4065934065934,222.0,95.97018160549547,96.0,609.0,14572.0,0.7051550445796948
question_marks,1.0,1.0,0.0,1.0,1.0,14924.0,1.0
exclamation_marks,0.0,0.0,0.0,0.0,0.0,14924.0,1.0
avg_word_length,4.806074806361235,4.820550351288055,0.3051147621811811,3.85,5.555555555555555,14970.0,0.9609336806090515
unique_word_count,33.15934065934066,29.5,10.760162643536308,17.0,75.0,14583.5,0.7139322003889472
sentiment_score_range,0.2598827693470551,0.1666666666666666,0.24935527680835012,0.0,1.0722222222222222,14992.0,0.9419512349743029
noun_phrase_count,11.54945054945055,10.0,3.7820855314435176,5.0,25.0,14609.5,0.7322938981839223
verb_phrase_count,4.906593406593407,5.0,2.1535170871897362,1.0,13.0,14602.5,0.7260485669679729
named_entity_count,2.9505494505494507,3.0,1.7120872613155012,0.0,8.0,14569.0,0.6948822370269143
passive_voice_count,1.3296703296703296,1.0,1.1080314040560748,0.0,3.0,14470.0,0.6112789158346802
active_voice_count,1.6318681318681318,1.0,0.8678899439965952,0.0,6.0,15085.5,0.8450694143201316
modal_verbs_count,0.06043956043956044,0.0,0.2389568124271216,0.0,1.0,14916.0,0.9844258504211861
conditional_sentences_count,0.0,0.0,0.0,0.0,0.0,14924.0,1.0
sentence_count,2.71978021978022,3.0,0.7532940230291509,2.0,6.0,14665.5,0.7620176773240894
average_sentence_length,17.91785714285714,19.0,4.50085389746954,10.333333333333334,26.0,14563.5,0.6980780213212827
stop_words_count,21.395604395604394,21.5,8.437458077167463,8.0,58.0,14600.5,0.7269208357856667
punctuation_diversity,3.8351648351648353,4.0,1.1917185349745578,2.0,6.0,14618.5,0.7339664514845696
readability grades__Kincaid,18.355211146972014,16.619473684210522,6.550324631061541,5.780000000000001,44.23,14647.5,0.7663912710595959
readability grades__ARI,21.8300108595313,19.727166666666665,8.366908687927236,5.997,53.98305555555556,14558.5,0.6943993389015743
readability grades__Coleman-Liau,10.696421561819077,10.775743463461545,1.733733960793873,4.4752807000000026,14.221719857142858,14882.5,0.9647983399561703
readability grades__FleschReadingEase,39.63165949331468,42.280245901639375,20.15828532427772,-29.68499999999997,89.24500000000002,15028.5,0.9108629100191454
readability grades__GunningFogIndex,22.347987938237292,20.766666666666666,6.817050441710985,10.0,49.12592592592593,14626.0,0.7487567639370571
readability grades__LIX,65.84037443187799,61.64979757085021,16.92412424450366,30.0,126.51851851851852,14628.0,0.7504035485825171
readability grades__SMOGIndex,15.390745798946723,15.24744871391589,3.6318375600668364,8.477225575051662,24.908902300206645,14659.5,0.7741942581167756
readability grades__RIX,9.725274725274724,8.0,4.512881340164771,2.0,23.0,14608.0,0.7332617043218927
readability grades__DaleChallIndex,11.066243026566585,11.147,1.4112122090555637,7.7865,13.666156140350877,14428.5,0.594092239752013
sentence info__characters_per_word,4.645040918824452,4.669398907103825,0.2921775195231296,3.7,5.333333333333333,14998.5,0.936510631831481
sentence info__syll_per_word,1.4633350850944804,1.4558441558441557,0.14813827313330222,1.1111111111111112,1.9444444444444444,15153.5,0.8052757136341874
sentence info__words_per_sentence,42.76373626373626,38.5,16.53538657448407,18.0,108.0,14545.5,0.6838806095053224
sentence info__sentences_per_paragraph,1.0,1.0,0.0,1.0,1.0,14924.0,1.0
sentence info__type_token_ratio,0.7753334476062697,0.7647058823529411,0.11194037060750396,0.5652173913043478,1.0,15495.0,0.5390147731665916
sentence info__characters,198.5879120879121,177.5,77.7474340379407,74.0,491.0,14572.0,0.7051461685018503
sentence info__syllables,62.39010989010989,56.0,24.700784226909104,23.0,162.0,14584.5,0.7151278254291848
sentence info__words,42.76373626373626,38.5,16.53538657448407,18.0,108.0,14545.5,0.6838806095053224
sentence info__wordtypes,31.763736263736263,29.0,9.918686159692664,16.0,72.0,14593.0,0.721439872221438
sentence info__sentences,1.0,1.0,0.0,1.0,1.0,14924.0,1.0
sentence info__paragraphs,1.0,1.0,0.0,1.0,1.0,14924.0,1.0
sentence info__long_words,9.725274725274724,8.0,4.512881340164771,2.0,23.0,14608.0,0.7332617043218927
sentence info__complex_words,5.554945054945055,5.0,3.117364084726609,1.0,16.0,14659.5,0.7741942581167756
sentence info__complex_words_dc,14.247252747252746,13.0,6.100391087170467,4.0,26.0,14348.5,0.5348350184986527
word usage__tobeverb,3.0494505494505493,3.0,2.1239946533822494,0.0,6.0,14517.0,0.6539656921645184
word usage__auxverb,0.06043956043956044,0.0,0.2389568124271216,0.0,1.0,14916.0,0.9844258504211861
word usage__conjunction,1.7362637362637363,2.0,0.6278115076795848,1.0,5.0,14587.0,0.6731602943629917
word usage__pronoun,1.6703296703296704,1.0,1.9640692061427272,0.0,14.0,15142.0,0.807547199372941
