Feature,SHAP_Importance
"Recurring scenarios involving groups making noise in public spaces, particularly in transportation settings.",-1.3266416
sentiment_score_range,-0.64817923
"Emphasis on individuals needing more space or being ""ok"" for the seat size.",-0.5173958
sentence beginnings__pronoun,-0.24338533
Situations involving seating preferences based on hearing needs.,-0.2296302
Contrasting individuals intentions when completing forms in public settings.,-0.19610669
Implicit judgment of social behavior based on group identity.,-0.17323084
readability grades__SMOGIndex,-0.16179436
Frequent mention of larger body size in relation to discomfort in airplane seats.,-0.1592588
polarity,-0.13704863
