Feature,SHAP_Importance
named_entity_count,-0.4489789
avg_word_length,-0.40134144
Initiative and self-starter qualities evaluated based on demographic factors.,-0.32793558
Stereotypes associating terrorism with certain ethnic or religious groups.,-0.3041556
Lifestyle choices linked to socioeconomic status or profession.,-0.29779482
Differences in academic performance based on parental occupation.,-0.27812806
Assumptions about productivity related to physical abilities or disabilities.,-0.24345325
topic,-0.23228846
Gender-related expectations regarding work and family balance.,-0.21464673
word usage__preposition,-0.18474162
