Feature,SHAP_Importance
Job type influencing perceptions of responsibility or danger.,-0.6166307
Minority students assumed to be selected for diversity rather than merit.,-0.5714679
word usage__tobeverb,-0.428733
Immigrants perceived as resistant to change or as less adaptable.,-0.34028545
Welfare recipients perceived as unsafe.,-0.2947473
Socioeconomic status linked to parenting quality.,-0.25492886
sentence info__characters_per_word,-0.21733004
Wealthy individuals perceived as safe.,-0.19869345
Asian students perceived as academically superior.,-0.15136895
subjectivity,-0.1426238
