Feature,SHAP_Importance
Comparisons between cultural behaviors in professional or social settings.,-0.93887496
"Parenting judgments based on behavior in public, particularly food choices.",-0.6706114
Behavior-related assumptions about confrontation and passivity.,-0.4211877
Implicit biases in determining attractiveness based on racial or ethnic background.,-0.39344567
readability grades__LIX,-0.3580604
Parental roles and responsibilities inferred from casual observations.,-0.35660648
Judgments on parenting quality related to gender and visible actions.,-0.31827134
readability grades__Kincaid,-0.23742959
flesch_reading_ease,-0.23232216
Assumptions about parental fitness based on eating habits or appearance.,-0.22509843
