Feature,SHAP_Importance
subjectivity,-1.1594535
"Ideas about who is silent or passive in conversations, tied to racial or ethnic identities.",-0.3559198
sentence info__type_token_ratio,-0.29950494
word usage__conjunction,-0.2445901
noun_phrase_count,-0.22564855
"Expectations of who is more submissive in a relationship, often tied to women.",-0.21615696
Associations between specific cultures and traditional or conservative views on gender roles.,-0.16198689
Assumptions about who is more likely to speak up or stay quiet in professional settings.,-0.15809256
text_length,-0.13775766
topic,-0.12840809
