Feature,SHAP_Importance
Situational seating preferences connected to body size and comfort.,-1.190641
polarity,-0.82090604
Assumptions about who is more likely to seek government support.,-0.68800086
sentiment_score_range,-0.56300944
sentence beginnings__pronoun,-0.48763096
subjectivity,-0.4260073
Situational context where hearing impairment is presumed based on age.,-0.28663352
readability grades__SMOGIndex,-0.28256282
Associations between age and hearing loss in various public scenarios.,-0.23866867
readability grades__FleschReadingEase,-0.223953
