Feature,SHAP_Importance
flesch_reading_ease,-1.6105944
"Male characters are more often shown as attempting to work within the system, leading to calmer interactions.",-0.6308088
White and Asian characters are often depicted as calm or solution-seeking in contrast to minority characters.,-0.15640613
Scenarios emphasize the maternal instinct to challenge authority for the childs well-being.,-0.10090041
polarity,0.0
sentence beginnings__preposition,0.0
sentence beginnings__conjunction,0.0
sentence beginnings__subordination,0.0
sentence beginnings__article,0.0
sentence beginnings__interrogative,0.0
