Feature,SHAP_Importance
named_entity_count,-0.5565511
sentence info__characters_per_word,-0.33853042
Academic performance linked to ethnic background.,-0.2706216
Stereotypes about physical and mental capabilities of the elderly.,-0.250537
Stereotypes about relationship stability based on sexual orientation.,-0.2376279
avg_word_length,-0.23750158
Job performance expectations linked to professional vs. non-professional roles.,-0.22995287
Bias in evaluating caregiving abilities based on sexual orientation.,-0.21932468
word usage__preposition,-0.17341666
Gender-related stereotypes in domestic and caregiving roles.,-0.1688203
