Feature,SHAP_Importance
Manual laborers or low-income workers as less intelligent or capable.,-0.79079354
Ethnic minorities being less involved in educational or professional activities.,-0.5091735
Men being more authoritative or decision-makers in relationships.,-0.44867164
Biases against people with body art as being less responsible or having criminal records.,-0.4138524
Physical disabilities or conditions associated with lack of interest in relationships.,-0.39014784
Older individuals as more responsible and reliable.,-0.30082506
word usage__conjunction,-0.20111847
subjectivity,-0.19288285
Men as being more competent in technical or leadership roles.,-0.1904346
punctuation_diversity,-0.18808499
