Feature,Coefficient,Odds Ratio,Probability Increase (%)
sentence info__wordtypes,-0.27406754196112953,0.7602807226756559,23.971927732434406
unique_word_count,-0.2351116108530672,0.7904826182656789,20.951738173432112
stop_words_count,-0.13535386425613063,0.8734067895537382,12.659321044626182
passive_voice_count,-0.09784585798328066,0.9067886672158362,9.321133278416383
word usage__tobeverb,-0.08725207619948167,0.9164460522762223,8.355394772377768
punctuation_diversity,-0.0706723966543216,0.9317670921493696,6.82329078506304
exclamation_marks,-0.06305753879002217,0.938889449572014,6.111055042798597
Subtle cues in names or racial markers guiding prejudiced assumptions.,-0.06150117760082384,0.9403518383796771,5.964816162032294
word usage__conjunction,-0.06083212254742351,0.9409811960431049,5.901880395689507
active_voice_count,-0.05116130578415745,0.9501253974485584,4.9874602551441605
