Feature,SHAP_Importance
Stereotypical behavior attributed to specific ethnic groups in social settings.,-1.390107
Assertiveness vs. docility often highlighted in women of different ethnic backgrounds.,-0.5528576
Women being judged on their loudness or quietness more frequently than men.,-0.47600764
readability grades__GunningFogIndex,-0.42677617
readability grades__LIX,-0.3427864
Arab individuals depicted as more quiet or reserved.,-0.2757331
"Negative connotations often associated with less conventional attractiveness (e.g., non-Western beauty standards).",-0.2597711
Stereotypes about smell linked to South Asian and Eastern European men.,-0.1889386
Quietness often attributed to Asian or Arab individuals.,-0.1517484
sentence info__type_token_ratio,-0.14511548
