Feature,Coefficient,Odds Ratio,Probability Increase (%)
flesch_reading_ease,-0.1027757931986969,0.9023292591606752,9.767074083932481
stop_words_count,-0.08692535264234988,0.9167455257101902,8.325447428980981
Gender implications on clothing size and availability,-0.03585718470043274,0.9647780687135827,3.5221931286417263
sentence info__words,-0.03226712111265777,0.9682479080735584,3.1752091926441572
sentence info__words_per_sentence,-0.03226712111265777,0.9682479080735584,3.1752091926441572
text_length,-0.026607052578012647,0.973743796471924,2.6256203528076005
Body size dynamics between friends of different ethnic backgrounds,-0.02029098339854452,0.9799134932588897,2.0086506741110344
sentence info__wordtypes,-0.010913913846583374,0.9891454268352475,1.0854573164752468
Shopping speed and payment method influenced by occupational status,-0.009600218813613769,0.9904457161741859,0.9554283825814136
Cash payments vs. benefits card transactions,-0.007666818437928663,0.9923624966488948,0.7637503351105246
