Feature,SHAP_Importance
subjectivity,-1.4279141
Native American perspectives on family and marriage,-0.45250347
Holding management ideas versus staying quiet,-0.299667
Worship practices and idol worship perceptions,-0.2987855
sentence info__type_token_ratio,-0.24822854
Professional and social contributions of people with physical disabilities,-0.20579909
Perceptions of Hispanic individuals and their family roles,-0.18478014
Submission and dominance in marital relationships,-0.17430454
Weirdness and fitting in for people with autism,-0.16975103
Performance and expectations in academic and professional environments,-0.12098986
