Feature,SHAP_Importance
Keeping a cool head vs. acting out of control,-1.2472681
Trustworthiness with kids and babysitting,-0.6399905
Welcoming behavior in diverse neighborhoods,-0.39843416
Responding to stress logically vs. emotionally,-0.35728812
Perceptions of friendliness based on religion or ethnicity,-0.35132346
Comforting a child vs. being impatient,-0.29799885
Trustworthiness based on cultural or religious background,-0.27062488
word usage__nominalization,-0.21396476
Non-violent actions in arguments vs. physical aggression,-0.21120936
Job capability based on professional demeanor and attire,-0.19492382
