Feature,SHAP_Importance
named_entity_count,-0.6932474
Stereotypes about physical activity and fitness levels,-0.35044464
avg_word_length,-0.30840653
sentence info__characters_per_word,-0.30260804
Prejudices regarding involvement in community and school activities,-0.29688025
Biases regarding organizational skills and cleanliness,-0.22617021
Assumptions about criminal behavior and terrorism links,-0.19686642
Biases in language proficiency and communication skills,-0.18815297
sentence beginnings__article,-0.14858033
word usage__preposition,-0.1450355
