Feature,Coefficient,Odds Ratio,Probability Increase (%)
sentence info__wordtypes,-0.13832240397960185,0.8708178913289718,12.91821086710282
sentence info__long_words,-0.12257769043852988,0.8846371744236452,11.53628255763548
readability grades__RIX,-0.12257769043852988,0.8846371744236452,11.53628255763548
sentence info__complex_words_dc,-0.11692332927066294,0.8896534009237146,11.03465990762854
Comparison of professional vs. blue-collar workers,-0.1094783449762094,0.8963015735838541,10.369842641614591
noun_phrase_count,-0.10150204891929669,0.9034793281840946,9.65206718159054
sentence info__syllables,-0.0993822606362696,0.9053965444062604,9.460345559373962
unique_word_count,-0.09471428781682587,0.9096327905149093,9.03672094850907
stop_words_count,-0.09439296069328265,0.9099251271682987,9.007487283170136
Education level and financial stability,-0.07400421692812763,0.9286677777077571,7.133222229224289
